STUDENT_ID,FALL_COHORT,COHORT_TYPE,GENDER,N__IPEDS_ETHNICITY,ENROLLMENT_STATUS,EXCLUSION_ELIGIBLE,ENROLLED_FALL_2020
ID000236,2019,N/A,M,TWOMORE,F,N,Y
ID000237,2019,N/A,M,HISPA,F,N,Y
ID000238,2019,UD,M,NSPEC,P,N,Y
ID000239,2019,UD,F,WHITE,F,N,Y
ID000240,2019,FTF,F,WHITE,F,N,Y
ID000241,2019,FTF,F,HISPA,F,N,Y
ID000242,2019,N/A,F,AMIND,F,N,Y
ID000243,2019,FTF,F,WHITE,P,N,Y
ID000244,2019,FTF,F,WHITE,F,N,Y
ID000245,2019,N/A,M,WHITE,F,N,Y
ID000246,2019,N/A,M,AMIND,F,N,Y
ID000247,2019,FTF,M,WHITE,F,N,Y
ID000248,2019,N/A,F,WHITE,F,N,Y
ID000249,2019,N/A,F,TWOMORE,F,N,Y
ID000250,2019,N/A,F,HISPA,P,N,Y
ID000251,2019,FTF,M,WHITE,F,N,Y
ID000252,2019,N/A,F,WHITE,P,N,Y
ID000253,2019,N/A,F,WHITE,F,N,Y
ID000254,2019,UD,F,WHITE,F,N,Y
ID000255,2019,N/A,F,AMIND,F,N,Y
ID000256,2019,FTF,M,HISPA,F,N,Y
ID000257,2019,N/A,F,HISPA,F,N,Y
ID000258,2019,LD,F,HISPA,F,N,Y
ID000259,2019,FTF,M,WHITE,F,N,Y
ID000260,2019,N/A,F,WHITE,F,N,Y
ID000261,2019,N/A,F,AMIND,P,N,Y
ID000262,2019,N/A,M,WHITE,F,N,Y
ID000263,2019,N/A,F,TWOMORE,F,N,Y
ID000264,2019,N/A,M,WHITE,F,N,Y
ID000265,2019,FTF,F,BLACK,F,N,Y
ID000266,2019,N/A,M,ASIAN,F,N,Y
ID000267,2019,FTF,F,HISPA,F,N,Y
ID000268,2019,N/A,F,NSPEC,F,N,Y
ID000269,2019,UD,F,HISPA,F,N,Y
ID000270,2019,N/A,M,HISPA,F,N,Y
ID000271,2019,N/A,F,HISPA,F,N,Y
ID000272,2019,N/A,F,HISPA,P,N,Y
ID000273,2019,UD,F,HISPA,F,N,Y
ID000274,2019,N/A,M,HISPA,F,N,Y
ID000275,2019,FTF,F,HISPA,F,N,Y
ID000276,2019,FTF,F,HISPA,F,N,Y
ID000277,2019,N/A,F,HISPA,F,N,Y
ID000278,2019,UD,F,HISPA,F,N,Y
ID000279,2019,UD,F,HISPA,P,N,Y
ID000280,2019,N/A,F,HISPA,F,N,Y
ID000281,2019,UD,M,HISPA,P,N,Y
ID000282,2019,FTF,M,INTL,P,N,Y
ID000283,2019,UD,F,INTL,F,N,Y
ID000284,2019,N/A,M,NSPEC,P,N,Y
ID000285,2019,UD,M,INTL,F,N,Y
ID000286,2019,N/A,F,BLACK,F,N,Y
ID000287,2019,FTF,M,WHITE,F,N,Y
ID000288,2019,N/A,M,HISPA,F,N,Y
ID000289,2019,N/A,M,ASIAN,F,N,Y
ID000290,2019,N/A,F,WHITE,F,N,Y
ID000291,2019,UD,F,WHITE,F,N,Y
ID000292,2019,FTF,F,TWOMORE,F,N,Y
ID000293,2019,N/A,M,WHITE,F,N,Y
ID000294,2019,N/A,M,WHITE,P,N,Y
ID000295,2019,N/A,M,INTL,F,N,Y
ID000296,2019,N/A,M,TWOMORE,F,N,Y
ID000297,2019,UD,F,WHITE,P,N,Y
ID000298,2019,FTF,F,TWOMORE,F,N,Y
ID000299,2019,FTF,F,TWOMORE,F,N,Y
ID000300,2019,N/A,F,WHITE,F,N,Y
ID000301,2019,FTF,M,WHITE,F,N,Y
ID000302,2019,N/A,F,WHITE,P,N,Y
ID000303,2019,LD,M,WHITE,F,N,Y
ID000304,2019,N/A,M,WHITE,F,N,Y
ID000305,2019,N/A,M,WHITE,F,N,Y
ID000306,2019,FTF,M,WHITE,F,N,Y
ID000307,2019,N/A,M,WHITE,F,N,Y
ID000308,2019,UD,M,WHITE,F,N,Y
ID000309,2019,N/A,M,WHITE,F,N,Y
ID000310,2019,N/A,M,TWOMORE,F,N,Y
ID000311,2019,N/A,F,WHITE,P,N,Y
ID000312,2019,FTF,M,WHITE,F,N,Y
ID000313,2019,UD,F,WHITE,F,N,Y
ID000314,2019,N/A,M,WHITE,P,N,Y
ID000315,2019,FTF,F,TWOMORE,F,N,Y
ID000316,2019,N/A,M,WHITE,F,N,Y
ID000317,2019,FTF,F,WHITE,F,N,Y
ID000318,2019,FTF,F,WHITE,F,N,Y
ID000319,2019,FTF,F,WHITE,F,N,Y
ID000320,2019,N/A,M,WHITE,P,N,Y
ID000321,2019,FTF,F,WHITE,F,N,Y
ID000322,2019,N/A,F,TWOMORE,P,N,Y
ID000323,2019,N/A,M,HISPA,F,N,Y
ID000324,2019,FTF,F,WHITE,P,N,Y
ID000325,2019,N/A,F,WHITE,F,N,Y
ID000326,2019,N/A,M,WHITE,F,N,Y
ID000327,2019,N/A,F,WHITE,F,N,Y
ID000328,2019,N/A,F,AMIND,F,N,Y
ID000329,2019,FTF,M,WHITE,F,N,Y
ID000330,2019,N/A,M,WHITE,P,N,Y
ID000331,2019,N/A,F,WHITE,P,N,Y
ID000332,2019,N/A,F,WHITE,F,N,Y
ID000333,2019,N/A,F,WHITE,F,N,Y
ID000334,2019,N/A,F,WHITE,F,N,Y
ID000335,2019,N/A,F,WHITE,F,N,Y
ID000336,2019,FTF,F,HISPA,F,N,Y
ID000337,2019,UD,F,WHITE,F,N,Y
ID000338,2019,N/A,F,WHITE,F,N,Y
ID000339,2019,N/A,F,WHITE,P,N,Y
ID000340,2019,N/A,F,WHITE,F,N,Y
ID000341,2019,N/A,F,WHITE,F,N,Y
ID000342,2019,UD,M,HISPA,P,N,Y
ID000343,2019,FTF,M,WHITE,F,N,Y
ID000344,2019,N/A,F,WHITE,P,N,Y
ID000345,2019,N/A,F,WHITE,F,N,Y
ID000346,2019,N/A,M,WHITE,F,N,Y
ID000347,2019,N/A,F,WHITE,F,N,Y
ID000348,2019,N/A,F,WHITE,F,N,Y
ID000349,2019,N/A,F,WHITE,F,N,Y
ID000350,2019,N/A,M,TWOMORE,F,N,Y
ID000351,2019,FTF,F,WHITE,P,N,Y
ID000352,2019,FTF,M,WHITE,F,N,Y
ID000353,2019,FTF,F,WHITE,F,N,Y
ID000354,2019,FTF,F,WHITE,F,N,Y
ID000355,2019,FTF,M,WHITE,F,N,Y
ID000356,2019,UD,F,WHITE,P,N,Y
ID000357,2019,FTF,F,HISPA,P,N,Y
ID000358,2019,N/A,F,WHITE,F,N,Y
ID000359,2019,N/A,M,WHITE,F,N,Y
ID000360,2019,N/A,F,HISPA,F,N,Y
ID000361,2019,N/A,F,WHITE,F,N,Y
ID000362,2019,N/A,F,TWOMORE,F,N,Y
ID000363,2019,N/A,F,BLACK,F,N,Y
ID000364,2019,FTF,F,WHITE,F,N,Y
ID000365,2019,FTF,F,WHITE,F,N,Y
ID000366,2019,N/A,F,WHITE,F,N,Y
ID000367,2019,N/A,F,WHITE,F,N,Y
ID000368,2019,FTF,F,WHITE,F,N,Y
ID000369,2019,FTF,F,WHITE,F,N,Y
ID000370,2019,LD,F,WHITE,P,N,Y
ID000371,2019,N/A,F,WHITE,F,N,Y
ID000372,2019,N/A,F,WHITE,F,N,Y
ID000373,2019,LD,F,WHITE,F,N,Y
ID000374,2019,FTF,F,WHITE,F,N,Y
ID000375,2019,N/A,F,HISPA,F,N,Y
ID000376,2019,UD,M,WHITE,P,N,Y
ID000377,2019,N/A,F,WHITE,F,N,Y
ID000378,2019,N/A,M,WHITE,F,N,Y
ID000379,2019,N/A,F,HISPA,P,N,Y
ID000380,2019,N/A,F,WHITE,F,N,Y
ID000381,2019,N/A,M,WHITE,F,N,Y
ID000382,2019,FTF,F,WHITE,F,N,Y
ID000383,2019,N/A,F,TWOMORE,F,N,Y
ID000384,2019,N/A,F,WHITE,F,N,Y
ID000385,2019,N/A,F,WHITE,F,N,Y
ID000386,2019,N/A,F,WHITE,F,N,Y
ID000387,2019,N/A,F,WHITE,F,N,Y
ID000388,2019,N/A,M,WHITE,F,N,Y
ID000389,2019,UD,F,WHITE,F,N,Y
ID000390,2019,N/A,F,WHITE,F,N,Y
ID000391,2019,FTF,F,HISPA,F,N,Y
ID000392,2019,FTF,F,WHITE,F,N,Y
ID000393,2019,N/A,F,HISPA,F,N,Y
ID000394,2019,N/A,F,HISPA,F,N,Y
ID000395,2019,N/A,M,BLACK,F,N,Y
ID000396,2019,FTF,F,WHITE,F,N,Y
ID000397,2019,N/A,F,WHITE,F,N,Y
ID000398,2019,N/A,F,WHITE,F,N,Y
ID000399,2019,N/A,F,WHITE,F,N,Y
ID000400,2019,UD,M,WHITE,P,N,Y
ID000401,2019,N/A,F,WHITE,F,N,Y
ID000402,2019,N/A,F,WHITE,P,N,Y
ID000403,2019,LD,F,WHITE,F,N,Y
ID000404,2019,N/A,M,WHITE,F,N,Y
ID000405,2019,N/A,M,WHITE,F,N,Y
ID000406,2019,LD,M,WHITE,P,N,Y
ID000407,2019,FTF,F,HISPA,F,N,Y
ID000408,2019,FTF,F,HISPA,F,N,Y
ID000409,2019,FTF,F,WHITE,F,N,Y
ID000410,2019,N/A,F,HISPA,F,N,Y
ID000411,2019,N/A,F,WHITE,F,N,Y
ID000412,2019,LD,F,WHITE,F,N,Y
ID000413,2019,N/A,M,WHITE,F,N,Y
ID000414,2019,N/A,F,HISPA,F,N,Y
ID000415,2019,UD,F,HISPA,F,N,Y
ID000416,2019,N/A,M,HISPA,F,N,Y
ID000417,2019,N/A,F,HISPA,F,N,Y
ID000418,2019,N/A,F,HISPA,F,N,Y
ID000419,2019,N/A,M,INTL,F,N,Y
ID000420,2019,N/A,F,WHITE,F,N,Y
ID000421,2019,LD,F,WHITE,F,N,Y
ID000422,2019,N/A,M,WHITE,F,N,Y
ID000423,2019,FTF,F,WHITE,F,N,Y
ID000424,2019,FTF,M,WHITE,F,N,Y
ID000425,2019,FTF,F,WHITE,F,N,Y
ID000426,2019,FTF,F,TWOMORE,F,N,Y
ID000427,2019,N/A,M,WHITE,F,N,Y
ID000428,2019,N/A,F,WHITE,F,N,Y
ID000429,2019,UD,F,WHITE,F,N,Y
ID000430,2019,N/A,F,HISPA,F,N,Y
ID000431,2019,N/A,F,NSPEC,P,N,Y
ID000432,2019,FTF,F,WHITE,F,N,Y
ID000433,2019,UD,M,BLACK,P,N,Y
ID000434,2019,N/A,F,WHITE,F,N,Y
ID000435,2019,N/A,M,WHITE,F,N,Y
ID000436,2019,UD,M,WHITE,F,N,Y
ID000437,2019,N/A,F,HISPA,F,N,Y
ID000438,2019,FTF,F,BLACK,F,N,Y
ID000439,2019,FTF,F,HISPA,F,N,Y
ID000440,2019,N/A,F,WHITE,F,N,Y
ID000441,2019,N/A,M,WHITE,F,N,Y
ID000442,2019,N/A,M,WHITE,F,N,Y
ID000443,2019,N/A,M,HISPA,F,N,Y
ID000444,2019,N/A,F,WHITE,F,N,Y
ID000445,2019,N/A,F,HISPA,F,N,Y
ID000446,2019,N/A,M,WHITE,F,N,Y
ID000447,2019,N/A,F,WHITE,F,N,Y
ID000448,2019,N/A,F,WHITE,F,N,Y
ID000449,2019,N/A,F,HISPA,F,N,Y
ID000450,2019,N/A,M,WHITE,F,N,Y
ID000451,2019,FTF,F,WHITE,F,N,Y
ID000452,2019,FTF,F,WHITE,F,N,Y
ID000453,2019,N/A,F,WHITE,P,N,Y
ID000454,2019,UD,F,AMIND,F,N,Y
ID000455,2019,N/A,F,WHITE,F,N,Y
ID000456,2019,FTF,M,HISPA,F,N,Y
ID000457,2019,N/A,M,WHITE,F,N,Y
ID000458,2019,UD,F,HISPA,P,N,Y
ID000459,2019,N/A,F,AMIND,F,N,Y
ID000460,2019,N/A,F,HISPA,F,N,Y
ID000461,2019,N/A,M,NSPEC,P,N,Y
ID000462,2019,N/A,M,INTL,P,N,Y
ID000463,2019,N/A,M,NSPEC,P,N,Y
ID000464,2019,FTF,F,INTL,F,N,Y
ID000465,2019,N/A,F,NSPEC,P,N,Y
ID000466,2019,LD,M,INTL,F,N,Y
ID000467,2019,FTF,M,INTL,F,N,Y
ID000468,2019,N/A,F,NSPEC,P,N,Y
ID000469,2019,N/A,M,NSPEC,P,N,Y
ID000470,2019,N/A,M,NSPEC,P,N,Y
ID000471,2019,N/A,M,INTL,F,N,Y
ID000472,2019,N/A,M,NSPEC,P,N,Y
ID000473,2019,FTF,F,INTL,F,N,Y
ID000474,2019,N/A,M,INTL,F,N,Y
ID000475,2019,N/A,M,NSPEC,P,N,Y
ID000476,2019,LD,F,INTL,P,N,Y
ID000477,2019,N/A,M,NSPEC,P,N,Y
ID000478,2019,FTF,M,INTL,P,N,Y
ID000479,2019,N/A,F,NSPEC,P,N,Y
ID000480,2019,N/A,M,INTL,F,N,Y
ID000481,2019,N/A,M,INTL,F,N,Y
ID000482,2019,N/A,F,NSPEC,P,N,Y
ID000483,2019,FTF,F,INTL,F,N,Y
ID000484,2019,UD,F,INTL,F,N,Y
ID000485,2019,FTF,F,HISPA,F,N,Y
ID000486,2019,UD,F,WHITE,P,N,Y
ID000487,2019,FTF,M,WHITE,F,N,Y
ID000488,2019,N/A,F,HISPA,F,N,Y
ID000489,2019,N/A,F,WHITE,F,N,Y
ID000490,2019,FTF,F,WHITE,F,N,Y
ID000491,2019,N/A,F,HISPA,F,N,Y
ID000492,2019,FTF,M,TWOMORE,F,N,Y
ID000493,2019,N/A,M,NSPEC,P,N,Y
ID000494,2019,N/A,F,TWOMORE,F,N,Y
ID000495,2019,N/A,F,WHITE,F,N,Y
ID000496,2019,N/A,M,WHITE,P,N,Y
ID000497,2019,N/A,F,WHITE,F,N,Y
ID000498,2019,N/A,F,ASIAN,F,N,Y
ID000499,2019,FTF,F,ASIAN,F,N,Y
ID000500,2019,N/A,F,WHITE,F,N,Y
ID000501,2019,N/A,F,HISPA,F,N,Y
ID000502,2019,N/A,F,WHITE,P,N,Y
ID000503,2019,N/A,F,WHITE,F,N,Y
ID000504,2019,N/A,M,TWOMORE,F,N,Y
ID000505,2019,N/A,M,HISPA,F,N,Y
